,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
163,Fresno State,MWC,,,7,8,62.9,60.1,2.87,,-0.80,,-4.19,2.96,-1.22,87.76,89.78,-2.02
164,Saint Louis,A-10,,,8,8,72.6,69.4,3.19,,0.50,,2.18,-3.55,-1.37,87.82,90.82,-3.01
165,Xavier,Big East,,,9,6,60.1,62.8,-2.67,,1.11,,-5.94,4.39,-1.55,86.56,89.75,-3.19
166,Utah Valley,WAC,,,9,5,64.5,58.1,6.36,,-1.64,,-4.24,2.60,-1.64,82.83,86.68,-3.85
167,Middle Tennessee,CUSA,,,7,7,57.0,60.6,-3.64,,1.92,,-7.56,5.84,-1.73,86.79,90.93,-4.13
168,Bryant,AmEast,,,12,3,69.1,53.3,15.80,,-12.89,,-3.30,1.33,-1.97,88.58,92.34,-3.76
169,Ohio,MAC,,,8,4,73.8,70.2,3.67,,-3.08,,4.25,-6.25,-1.99,88.63,93.14,-4.51
170,George Washington,A-10,,,9,7,64.4,60.9,3.50,,-3.13,,-4.09,2.09,-2.00,90.40,93.89,-3.50
171,Southern,SWAC,,,6,7,59.2,66.2,-7.00,,13.41,,-5.36,3.31,-2.05,86.07,90.99,-4.93
172,Cleveland State,Horizon,,,12,5,71.8,57.3,14.47,,-11.16,,-2.91,0.82,-2.09,88.81,92.86,-4.04
173,Hawaii,Big West,,,6,8,61.6,63.6,-1.93,,1.40,,-3.31,0.87,-2.44,87.90,92.40,-4.51
174,Kent State,MAC,,,5,9,68.9,67.1,1.86,,4.01,,-1.06,-1.43,-2.49,90.43,95.13,-4.71
175,Brown,Ivy,,,8,4,63.3,53.8,9.42,,-8.07,,-6.43,3.91,-2.53,83.37,89.05,-5.68
176,Drexel,CAA,,,7,5,64.5,58.6,5.92,,-3.91,,-5.04,2.40,-2.64,91.01,96.18,-5.18
177,Holy Cross,Patriot,,,8,5,59.4,61.4,-2.00,,-0.67,,-5.08,2.40,-2.67,84.57,89.94,-5.37
178,Oral Roberts,Summit,,,8,7,77.0,75.8,1.20,,4.71,,8.99,-11.86,-2.88,94.50,99.16,-4.67
179,Toledo,MAC,,,6,6,65.0,65.1,-0.08,,-1.79,,-2.80,-0.18,-2.98,89.53,94.75,-5.21
180,Pacific,WCC,,,7,8,67.1,66.9,0.27,,1.42,,-0.50,-2.57,-3.08,92.43,97.57,-5.14
181,Southern Utah,WAC,,,10,4,77.1,64.3,12.79,,-6.56,,-0.25,-2.85,-3.11,90.66,96.21,-5.56
182,La Salle,A-10,,,10,4,66.0,63.8,2.21,,-2.97,,-2.57,-0.55,-3.12,83.72,89.88,-6.16
183,Washington State,WCC,,,3,14,59.5,72.3,-12.76,,9.62,,-3.81,0.67,-3.15,88.76,94.84,-6.08
184,Jacksonville,A-Sun,,,9,4,69.3,67.8,1.46,,-0.47,,2.19,-5.39,-3.20,89.26,94.55,-5.29
185,Houston,Big 12,,,6,8,60.6,69.6,-8.93,,5.57,,-4.96,1.60,-3.36,81.80,86.73,-4.93
186,Longwood,Big South,,,10,4,80.4,64.7,15.71,,-4.23,,2.89,-6.29,-3.41,87.61,94.78,-7.17
187,Northern Colorado,Big Sky,,,10,5,72.6,60.9,11.67,,-3.61,,-1.92,-1.52,-3.44,87.97,93.02,-5.05
188,Binghamton,AmEast,,,9,5,69.9,65.1,4.71,,-0.70,,0.62,-4.06,-3.45,91.26,97.10,-5.83
189,Tennessee Tech,OVC,,,10,3,68.2,60.2,8.08,,-7.35,,-3.43,-0.19,-3.62,87.87,93.82,-5.95
190,Youngstown State,Horizon,,,10,4,70.0,57.9,12.14,,-5.46,,-4.12,0.49,-3.63,89.17,94.91,-5.74
191,Louisiana-Monroe,Sun Belt,,,6,7,61.8,67.1,-5.23,,1.52,,-4.13,0.42,-3.71,85.25,90.88,-5.63
192,Northern Kentucky,Horizon,,,6,11,65.8,72.1,-6.24,,2.43,,0.68,-4.49,-3.81,90.58,96.99,-6.41
193,Stetson,A-Sun,,,8,5,71.9,64.2,7.77,,-2.45,,0.14,-3.95,-3.81,92.50,99.08,-6.58
194,Drake,MVC,,,4,9,69.2,77.2,-8.08,,4.10,,3.07,-7.04,-3.98,93.88,100.67,-6.79
195,Navy,Patriot,,,7,6,68.7,65.7,3.00,,-4.33,,0.66,-4.65,-3.99,89.97,97.04,-7.07
196,Little Rock,OVC,,,7,7,60.9,60.1,0.86,,1.47,,-9.55,5.44,-4.11,80.80,87.18,-6.39
197,Lamar,Southland,,,6,6,62.6,59.4,3.17,,-4.77,,-4.69,0.56,-4.13,86.67,92.93,-6.26
198,Dayton,A-10,,,8,6,65.6,66.9,-1.29,,-3.04,,-2.05,-2.28,-4.32,88.62,96.53,-7.91
199,Lehigh,Patriot,,,6,7,67.0,70.9,-3.92,,-0.45,,2.43,-6.80,-4.38,94.87,102.59,-7.72
200,Virginia Commonwealth,A-10,,,4,11,59.6,69.9,-10.27,,5.66,,-3.66,-0.95,-4.61,85.23,92.93,-7.70
201,Northwestern State,Southland,,,7,6,64.7,64.1,0.62,,6.09,,-6.43,1.52,-4.91,84.10,91.99,-7.89
202,Maine,AmEast,,,6,9,59.4,63.2,-3.80,,-1.13,,-5.67,0.74,-4.93,85.63,94.12,-8.49
203,Air Force,MWC,,,7,7,57.8,58.9,-1.07,,-3.76,,-8.55,3.55,-5.00,83.27,91.38,-8.11
204,UC Riverside,Big West,,,4,9,59.9,61.3,-1.38,,1.81,,-9.97,4.87,-5.10,79.27,87.21,-7.93
